Pin X10, Name, Specification
1, 3V3_PER, 3.3 V - 0.0 A (??)
2, GND, GND
3, EXT_SPI0_MOSI, MISO of SPI0
4, EXT_SPI0_SCLK, SCLK of SPI0
5, EXT_UART1_RX, RX of UART1
6, EXT_I2C1_SCL, SCL of I2C1
7, 3V3_PER, 3.3 V - 0.0 A (??)
8, GND, GND
9, EXT_SPI0_MISO, MISO of SPI0
10, EXT_SPI0_CS, CS of SPI0
11, EXT_UART1_TX, TX of UART1
12, EXT_I2C1_SDA, SDA of I2C1
