operating_point,i_d_A,i_q_A,L_dd_H,L_dq_H,L_qd_H,L_qq_H
0,-8.0,-8.0,0.0020325012420630423,3.7041039107020383e-05,5.642037223663014e-05,0.002025235163302949
1,-7.11,-8.0,0.002032052323390675,2.176216665797457e-05,2.514623883393373e-05,0.002007289707770084
2,-6.22,-8.0,0.002011751206849214,7.373652704629682e-06,1.927439893938121e-05,0.0020050008357745757
3,-5.33,-8.0,0.0019793445506283147,2.5119090326545385e-05,4.7605829943989444e-05,0.0020290800986145783
4,-4.44,-8.0,0.0019856516360518967,6.629296483803317e-05,5.3594553755717186e-05,0.002001461545630899
5,-3.56,-8.0,0.001987413428047459,6.0687319897476805e-05,3.894004003295384e-05,0.001985186494929521
6,-2.67,-8.0,0.0019500927315926446,4.087247979510551e-05,5.817310977735725e-05,0.002007075783789944
7,-1.78,-8.0,0.0019085002980563474,5.990355979923999e-05,6.847893472426876e-05,0.0019854950165708717
8,-0.89,-8.0,0.0019033923174555586,0.00010089245782527942,5.8268271049608314e-05,0.001981883275504272
9,0.0,-8.0,0.001935430374577024,8.204180121101218e-05,6.018855709871013e-05,0.0020133791810720524
10,-8.0,-6.22,0.0020159185944531484,1.4154820319943646e-05,1.6551875533823458e-05,0.002069846014756602
11,-7.11,-6.22,0.0020187987101284253,1.4515562332921214e-05,1.4753971122809066e-05,0.0020626610880825004
12,-6.22,-6.22,0.002017573892697473,1.7314980197837004e-05,3.1865211943876356e-05,0.0020692958068627243
13,-5.33,-6.22,0.0020164721618596074,2.280401036086968e-05,3.9151514218145785e-05,0.002066052323246995
14,-4.44,-6.22,0.002011794365800436,3.26508905270223e-05,2.720495778082803e-05,0.002055926465554719
15,-3.56,-6.22,0.001980022828857543,3.978341772230276e-05,4.153450025842862e-05,0.0020572095164290167
16,-2.67,-6.22,0.0019552782549294365,4.317129406926877e-05,5.206634805584188e-05,0.0020558732935683707
17,-1.78,-6.22,0.0019512093225844442,5.0938224494130255e-05,5.042237923011221e-05,0.002044687471344636
18,-0.89,-6.22,0.0019245620958615733,6.85693650952831e-05,6.800604968775284e-05,0.0020449526908657306
19,0.0,-6.22,0.0018816996325406593,7.113953989438225e-05,9.60949361041609e-05,0.002036278864119747
20,-8.0,-4.44,0.0020290668584110744,7.942876279653371e-06,4.1374631574997434e-08,0.0021277790583461944
21,-7.11,-4.44,0.0020383726431464615,1.1638218313294972e-05,2.4045823046180137e-05,0.002129261400718521
22,-6.22,-4.44,0.002028328102905111,1.763572578945133e-05,2.6056869268370822e-05,0.002128573964355471
23,-5.33,-4.44,0.0020100163712866853,1.895435258351605e-05,2.0867147327976142e-05,0.002120645056954862
24,-4.44,-4.44,0.0020197427988460637,1.6140404495771504e-05,3.606717933515597e-05,0.0021202647542156797
25,-3.56,-4.44,0.002008659566297255,2.3399772205400654e-05,3.889261736794887e-05,0.0021173157798216533
26,-2.67,-4.44,0.001972402345136296,3.255842163280183e-05,3.312901960859493e-05,0.002109118968927943
27,-1.78,-4.44,0.001959296440108376,3.895924018842804e-05,4.663772931898843e-05,0.0021071175124873064
28,-0.89,-4.44,0.001943794948256066,3.9154973131580104e-05,4.145105659983123e-05,0.002100492104968543
29,0.0,-4.44,0.0019155891421692994,4.970208471399319e-05,7.615157580617704e-06,0.0020855252982333572
30,-8.0,-2.67,0.0020261573490766883,7.214968737278074e-06,2.65494384976985e-05,0.002181369304808032
31,-7.11,-2.67,0.0020382406664839897,1.0141700092412831e-05,1.643452050185349e-05,0.002177039859981608
32,-6.22,-2.67,0.002032203580915281,6.093986755993305e-06,1.4712392791011147e-05,0.002170168139204607
33,-5.33,-2.67,0.0020134343409044936,1.002599605167201e-05,2.246800931410102e-05,0.002170748603250791
34,-4.44,-2.67,0.0020209768674969673,1.1409727170983569e-05,2.0606091377212057e-05,0.0021641658948436827
35,-3.56,-2.67,0.00201304677231667,1.0167016123170669e-05,1.9392792465691613e-05,0.002154838242390886
36,-2.67,-2.67,0.001986327308796911,1.712377586582381e-05,3.1629191145337004e-05,0.0021537973800002078
37,-1.78,-2.67,0.0019643820671920234,1.9313962505315002e-05,3.327137091022406e-05,0.0021467652666117575
38,-0.89,-2.67,0.0019460825572415706,2.3205208848674566e-05,2.4887320827977812e-05,0.002132681874752588
39,0.0,-2.67,0.0019444415579692176,2.4085808792404656e-05,1.9197424945507913e-05,0.0021340389483706992
40,-8.0,-0.89,0.0020548281159490367,-7.359537902321828e-06,-1.2526782176966325e-05,0.00221126831167206
41,-7.11,-0.89,0.0020361258414266867,-1.0174519178555996e-05,1.6664547839325122e-06,0.0022018963397040636
42,-6.22,-0.89,0.0020280521267139317,-3.3660435277901857e-06,1.3567360266123494e-05,0.002207269665964588
43,-5.33,-0.89,0.002020639154323541,-1.3196501328895105e-05,8.810607686629253e-06,0.0021989207511616854
44,-4.44,-0.89,0.002019953407661843,-8.125154710426213e-06,4.086867675649362e-06,0.00219580043350412
45,-3.56,-0.89,0.0020199488391182893,-1.3219405343677104e-06,1.801027534429939e-05,0.002189336132037734
46,-2.67,-0.89,0.0019905901268664067,-1.0310084514360274e-05,1.6954453105449225e-05,0.0021770615214534265
