operating_point,i_d_A,i_q_A,psi_d_Vs,psi_q_Vs
0,-8.0,-8.0,0.0253261698956611,-0.0173159689591361
1,-7.11,-8.0,0.027134896232288,-0.0172796718172097
2,-6.22,-8.0,0.0289432230312965,-0.0172712086540117
3,-5.33,-8.0,0.0307158133804796,-0.0172453633870976
4,-4.44,-8.0,0.0324664563314149,-0.0171864702767114
5,-3.56,-8.0,0.0342300461286571,-0.0171502508905423
6,-2.67,-8.0,0.0359838428874681,-0.0171175910250055
7,-1.78,-8.0,0.037701211190892,-0.0170467027551386
8,-0.89,-8.0,0.0393809734180084,-0.0169956985211963
9,0.0,-8.0,0.0410892495159629,-0.0169429852326703
10,-8.0,-6.22,0.0253717342105511,-0.0136713467106631
11,-7.11,-6.22,0.0271671834110899,-0.0136574156089009
12,-6.22,-6.22,0.0289651959145797,-0.0136450846420645
13,-5.33,-6.22,0.0307584649400914,-0.0136006955316408
14,-4.44,-6.22,0.0325545163626898,-0.0135753949467562
15,-3.56,-6.22,0.0343194650851387,-0.0135525184404332
16,-2.67,-6.22,0.0360586418462074,-0.0135015663461566
17,-1.78,-6.22,0.0377998603789131,-0.0134598403408938
18,-0.89,-6.22,0.0395317944404077,-0.013411814511127
19,0.0,-6.22,0.0412255809095467,-0.0133387895724496
20,-8.0,-4.44,0.0253765610560001,-0.0099473171466026
21,-7.11,-4.44,0.0271865716341932,-0.009936598343636
22,-6.22,-4.44,0.0290048643608008,-0.0099045155815804
23,-5.33,-4.44,0.0307969956573643,-0.0098902171163383
24,-4.44,-4.44,0.0325826935016911,-0.0098673720593366
25,-3.56,-4.44,0.0343716750957485,-0.009826585012055
26,-2.67,-4.44,0.0361375326943547,-0.0097986820999021
27,-1.78,-4.44,0.0378825512700911,-0.0097676153571517
28,-0.89,-4.44,0.0396250803577476,-0.0097156669417143
29,0.0,-4.44,0.0413425062779869,-0.009693832476404
30,-8.0,-2.67,0.0253998270919225,-0.0061184416043398
31,-7.11,-2.67,0.027208484208847,-0.006099313742585
32,-6.22,-2.67,0.029027895478264,-0.0060891881578465
33,-5.33,-2.67,0.0308258065828762,-0.006073125683417
34,-4.44,-2.67,0.032611808605074,-0.0060491951012674
