Log-File 2024-03-23_10-52-40 
Attention: Channels may have changed during runtime. 
 
time;    CH1;    CH2;    CH3;    CH4;   CH5;   CH6;   CH7;   CH8;   CH9;   CH10;   CH11;   CH12;   CH13;   CH14;   CH15;   CH16;   CH17;   CH18;   CH19;   CH20;   receive_field_1;   receive_field_2;   receive_field_3;   receive_field_4;   receive_field_5;   receive_field_6
time; CH1=(12) iq; CH2=(11) id; CH3=(7) iq_ref; CH4=(4) theta_mech; CH5=(8) Kp_id; CH6=(9) Kp_iq; CH7=(10) psid_actual; CH8=(5) psid_ref; CH9=(0) ZEROVALUE; CH10=(0) ZEROVALUE; CH11=(0) ZEROVALUE; CH12=(0) ZEROVALUE; CH13=(0) ZEROVALUE; CH14=(0) ZEROVALUE; CH15=(0) ZEROVALUE; CH16=(0) ZEROVALUE; CH17=(0) ZEROVALUE; CH18=(0) ZEROVALUE; CH19=(0) ZEROVALUE; CH20=(0) ZEROVALUE; 
17.83725;2.0711191302720796E-42;-9.50080358812226E-43;0.0;0.0;0.0;6.765899658203125;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
17.8373;2.0711191302720796E-42;-9.50080358812226E-43;0.0;0.0;0.0;6.765899658203125;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
17.83735;2.0711191302720796E-42;-9.50080358812226E-43;0.0;0.0;0.0;6.765899658203125;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
17.8374;2.0711191302720796E-42;-9.50080358812226E-43;0.0;0.0;0.0;6.765899658203125;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
17.83745;2.0711191302720796E-42;-9.50080358812226E-43;0.0;0.0;0.0;6.765899658203125;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
17.8375;2.0711191302720796E-42;-9.50080358812226E-43;0.0;0.0;0.0;6.765899658203125;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
17.83755;2.0711191302720796E-42;-9.50080358812226E-43;0.0;0.0;0.0;6.765899658203125;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
17.8376;2.0711191302720796E-42;-9.50080358812226E-43;0.0;0.0;0.0;6.765899658203125;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
17.83765;2.0711191302720796E-42;-9.50080358812226E-43;0.0;0.0;0.0;6.765899658203125;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
17.837699999999998;2.0711191302720796E-42;-9.50080358812226E-43;0.0;0.0;0.0;6.765899658203125;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
17.83775;2.0711191302720796E-42;-9.50080358812226E-43;0.0;0.0;0.0;6.765899658203125;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
17.837799999999998;2.0711191302720796E-42;-9.50080358812226E-43;0.0;0.0;0.0;6.765899658203125;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
17.83785;2.0711191302720796E-42;-9.50080358812226E-43;0.0;0.0;0.0;6.765899658203125;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
17.837899999999998;2.0711191302720796E-42;-9.50080358812226E-43;0.0;0.0;0.0;6.765899658203125;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
17.83795;2.0711191302720796E-42;-9.50080358812226E-43;0.0;0.0;0.0;6.765899658203125;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
17.838;2.0711191302720796E-42;-9.50080358812226E-43;0.0;0.0;0.0;6.765899658203125;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
17.83805;2.0711191302720796E-42;-9.50080358812226E-43;0.0;0.0;0.0;6.765899658203125;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
17.8381;2.0711191302720796E-42;-9.50080358812226E-43;0.0;0.0;0.0;6.765899658203125;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
17.83815;2.0711191302720796E-42;-9.50080358812226E-43;0.0;0.0;0.0;6.765899658203125;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
17.8382;2.0711191302720796E-42;-9.50080358812226E-43;0.0;0.0;0.0;6.765899658203125;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
17.83825;2.0711191302720796E-42;-9.50080358812226E-43;0.0;0.0;0.0;6.765899658203125;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
17.8383;2.0711191302720796E-42;-9.50080358812226E-43;0.0;0.0;0.0;6.765899658203125;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
17.83835;2.0711191302720796E-42;-9.50080358812226E-43;0.0;0.0;0.0;6.765899658203125;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
17.8384;2.0711191302720796E-42;-9.50080358812226E-43;0.0;0.0;0.0;6.765899658203125;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
17.838449999999998;2.0711191302720796E-42;-9.50080358812226E-43;0.0;0.0;0.0;6.765899658203125;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
17.8385;2.0711191302720796E-42;-9.50080358812226E-43;0.0;0.0;0.0;6.765899658203125;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
17.838549999999998;2.0711191302720796E-42;-9.50080358812226E-43;0.0;0.0;0.0;6.765899658203125;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
17.8386;2.0711191302720796E-42;-9.50080358812226E-43;0.0;0.0;0.0;6.765899658203125;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
17.838649999999998;2.0711191302720796E-42;-9.50080358812226E-43;0.0;0.0;0.0;6.765899658203125;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
17.8387;2.0711191302720796E-42;-9.50080358812226E-43;0.0;0.0;0.0;6.765899658203125;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
17.838749999999997;2.0711191302720796E-42;-9.50080358812226E-43;0.0;0.0;0.0;6.765899658203125;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
17.8388;2.0711191302720796E-42;-9.50080358812226E-43;0.0;0.0;0.0;6.765899658203125;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
17.83885;2.0711191302720796E-42;-9.50080358812226E-43;0.0;0.0;0.0;6.765899658203125;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
