Log-File 2024-03-23_17-08-14 
Attention: Channels may have changed during runtime. 
 
time;    CH1;    CH2;    CH3;    CH4;   CH5;   CH6;   CH7;   CH8;   CH9;   CH10;   CH11;   CH12;   CH13;   CH14;   CH15;   CH16;   CH17;   CH18;   CH19;   CH20;   receive_field_1;   receive_field_2;   receive_field_3;   receive_field_4;   receive_field_5;   receive_field_6
time; CH1=(12) iq; CH2=(11) id; CH3=(7) iq_ref; CH4=(4) theta_mech; CH5=(8) Kp_id; CH6=(9) Kp_iq; CH7=(10) psiq_prediction; CH8=(5) psid_prediction; CH9=(0) ZEROVALUE; CH10=(0) ZEROVALUE; CH11=(0) ZEROVALUE; CH12=(0) ZEROVALUE; CH13=(0) ZEROVALUE; CH14=(0) ZEROVALUE; CH15=(0) ZEROVALUE; CH16=(0) ZEROVALUE; CH17=(0) ZEROVALUE; CH18=(0) ZEROVALUE; CH19=(0) ZEROVALUE; CH20=(0) ZEROVALUE; 
13.82775;2.6651204620975477E-7;4.952312337991316E-7;0.0;130.8997039794922;-0.0;8.877106666564941;-2.2291607820079662E-5;0.017697010189294815;;;;;;;;;;;;;
13.8278;2.642694596488582E-7;5.248465981821937E-7;0.0;130.8997039794922;-0.0;8.877106666564941;-2.229161145805847E-5;0.017697010189294815;;;;;;;;;;;;;
13.82785;2.620457735247328E-7;5.499099984263012E-7;0.0;130.8997039794922;-0.0;8.877106666564941;-2.2291613277047873E-5;0.017697010189294815;;;;;;;;;;;;;
13.8279;2.598407604637032E-7;5.701754730580433E-7;0.0;130.8997039794922;-0.0;8.877106666564941;-2.229161691502668E-5;0.017697010189294815;;;;;;;;;;;;;
13.82795;2.5765430677893164E-7;5.854390110471286E-7;0.0;130.8997039794922;-0.0;8.877105712890625;-2.2291620553005487E-5;0.017697010189294815;;;;;;;;;;;;;
13.828;2.5548632720528985E-7;5.955402571089508E-7;0.0;130.8997039794922;-0.0;8.877106666564941;-2.2291624190984294E-5;0.017697010189294815;;;;;;;;;;;;;
13.82805;2.533365091039741E-7;6.003647285979241E-7;0.0;130.8997039794922;-0.0;8.877105712890625;-2.22916278289631E-5;0.017697010189294815;;;;;;;;;;;;;
13.8281;2.512048808966938E-7;5.998445544719289E-7;0.0;130.8997039794922;-0.0;8.877105712890625;-2.2291631466941908E-5;0.017697010189294815;;;;;;;;;;;;;
13.828149999999999;2.490910162578075E-7;5.939594984738505E-7;0.0;130.8997039794922;-0.0;8.877107620239258;-2.2291635104920715E-5;0.017697010189294815;;;;;;;;;;;;;
13.828199999999999;2.469949151873152E-7;5.827373001920932E-7;0.0;130.8997039794922;-0.0;8.877107620239258;-2.2291638742899522E-5;0.017697010189294815;;;;;;;;;;;;;
13.828249999999999;2.449165776852169E-7;5.662540161210927E-7;0.0;130.8997039794922;-0.0;8.877107620239258;-2.229164238087833E-5;0.017697010189294815;;;;;;;;;;;;;
13.828299999999999;2.428558047995466E-7;5.446324848890072E-7;0.0;130.8997039794922;-0.0;8.877106666564941;-2.2291644199867733E-5;0.017697010189294815;;;;;;;;;;;;;
13.828349999999999;2.4081228389150056E-7;5.180432935958379E-7;0.0;130.8997039794922;-0.0;8.877106666564941;-2.229164783784654E-5;0.017697010189294815;;;;;;;;;;;;;
13.8284;2.3878592969595047E-7;4.867016514253919E-7;0.0;130.8997039794922;-0.0;8.877107620239258;-2.2291651475825347E-5;0.017697010189294815;;;;;;;;;;;;;
13.82845;2.3677671379118692E-7;4.5086648015058017E-7;0.0;130.8997039794922;-0.0;8.877107620239258;-2.2291655113804154E-5;0.017697010189294815;;;;;;;;;;;;;
13.8285;2.347843519601156E-7;4.108382256617915E-7;0.0;130.8997039794922;-0.0;8.877105712890625;-2.2291656932793558E-5;0.017697010189294815;;;;;;;;;;;;;
13.82855;2.328087447267535E-7;3.6695644212159095E-7;0.0;130.8997039794922;-0.0;8.877107620239258;-2.2291613277047873E-5;0.017697010189294815;;;;;;;;;;;;;
13.8286;2.5653321245044935E-7;3.2026918006522465E-7;0.0;130.8997039794922;-0.0;8.877106666564941;-2.229161691502668E-5;0.017697010189294815;;;;;;;;;;;;;
13.82865;2.8112364702792547E-7;2.720074121498328E-7;0.0;130.8997039794922;-0.0;8.877105712890625;-2.22915768972598E-5;0.017697010189294815;;;;;;;;;;;;;
13.8287;3.0550717156074825E-7;2.22571443941888E-7;0.0;130.8997039794922;-0.0;8.877106666564941;-2.2291589630185626E-5;0.017697010189294815;;;;;;;;;;;;;
13.82875;3.040020999378612E-7;1.7013644537655637E-7;0.0;130.8997039794922;-0.0;8.877106666564941;-2.2291551431408152E-5;0.017697010189294815;;;;;;;;;;;;;
13.8288;3.014440324022871E-7;1.1422597623322872E-7;0.0;130.8997039794922;-0.0;8.877105712890625;-2.2291551431408152E-5;0.017697010189294815;;;;;;;;;;;;;
13.82885;2.989075369441707E-7;5.5358857053988686E-8;0.0;130.8997039794922;-0.0;8.877106666564941;-2.2291556888376363E-5;0.017697010189294815;;;;;;;;;;;;;
13.828899999999999;2.963923577681271E-7;-4.357869620719157E-9;0.0;130.8997039794922;-0.0;8.877106666564941;-2.229156052635517E-5;0.017697010189294815;;;;;;;;;;;;;
13.828949999999999;2.9389835276560916E-7;-6.428346210896052E-8;0.0;130.8997039794922;0.0;8.877105712890625;-2.2291564164333977E-5;0.017697010189294815;;;;;;;;;;;;;
13.828999999999999;2.9142532298465085E-7;-1.238882134657615E-7;0.0;130.8997039794922;0.0;8.877107620239258;-2.2291567802312784E-5;0.017697010189294815;;;;;;;;;;;;;
13.829049999999999;2.88973126316705E-7;-1.8263689582909137E-7;0.0;130.8997039794922;0.0;8.877107620239258;-2.229157144029159E-5;0.017697010189294815;;;;;;;;;;;;;
13.829099999999999;2.8654156380980567E-7;-2.3999879772418353E-7;0.0;130.8997039794922;0.0;8.877106666564941;-2.2291575078270398E-5;0.017697010189294815;;;;;;;;;;;;;
13.829149999999998;2.8413043651198677E-7;-2.9545319080170884E-7;0.0;130.8997039794922;0.0;8.877106666564941;-2.2291578716249205E-5;0.017697010189294815;;;;;;;;;;;;;
13.8292;2.817396307364106E-7;-3.484938702058571E-7;0.0;130.8997039794922;0.0;8.877104759216309;-2.2291584173217416E-5;0.017697010189294815;;;;;;;;;;;;;
13.82925;2.793689475311112E-7;-3.986342846928892E-7;0.0;130.8997039794922;0.0;8.877105712890625;-2.2291587811196223E-5;0.017697010189294815;;;;;;;;;;;;;
13.8293;2.770181879441225E-7;-4.454113025076367E-7;0.0;130.8997039794922;0.0;8.877106666564941;-2.229159144917503E-5;0.017697010189294815;;;;;;;;;;;;;
13.82935;2.746872098668973E-7;-4.883901283392333E-7;0.0;130.8997039794922;0.0;8.877104759216309;-2.2291595087153837E-5;0.017697010189294815;;;;;;;;;;;;;
13.8294;2.7237584276917914E-7;-5.271677423479559E-7;0.0;130.8997039794922;0.0;8.877105712890625;-2.2291598725132644E-5;0.017697010189294815;;;;;;;;;;;;;
13.82945;2.7008391612071136E-7;-5.613773623736051E-7;0.0;130.8997039794922;0.0;8.877107620239258;-2.229160236311145E-5;0.017697010189294815;;;;;;;;;;;;;
13.8295;2.6781128781294683E-7;-5.906905471420032E-7;0.0;130.8997039794922;0.0;8.877107620239258;-2.2291604182100855E-5;0.017697010189294815;;;;;;;;;;;;;
13.82955;2.6555778731562896E-7;-6.148222269075632E-7;0.0;130.8997039794922;0.0;8.877106666564941;-2.2291609639069065E-5;0.017697010189294815;;;;;;;;;;;;;
13.8296;2.633232725202106E-7;-6.335318403216661E-7;0.0;130.8997039794922;0.0;8.877106666564941;-2.2291613277047873E-5;0.017697010189294815;;;;;;;;;;;;;
13.829649999999999;2.611075160530163E-7;-6.466271997851436E-7;0.0;130.8997039794922;0.0;8.877105712890625;-2.2291615096037276E-5;0.017697010189294815;;;;;;;;;;;;;
13.829699999999999;2.589103758054989E-7;-6.539647756653721E-7;0.0;130.8997039794922;0.0;8.877107620239258;-2.2291618734016083E-5;0.017697010189294815;;;;;;;;;;;;;
13.829749999999999;2.567317949342396E-7;-6.554523110935406E-7;0.0;130.8997039794922;0.0;8.877106666564941;-2.229162237199489E-5;0.017697010189294815;;;;;;;;;;;;;
13.829799999999999;2.545715744872723E-7;-6.510494472422579E-7;0.0;130.8997039794922;0.0;8.877106666564941;-2.2291624190984294E-5;0.017697010189294815;;;;;;;;;;;;;
13.829849999999999;2.524292881389556E-7;-6.407685759768356E-7;0.0;130.8997039794922;0.0;8.877106666564941;-2.2291629647952504E-5;0.017697010189294815;;;;;;;;;;;;;
13.829899999999999;2.5030544748005923E-7;-6.246751809158013E-7;0.0;130.8997039794922;0.0;8.877105712890625;-2.229163328593131E-5;0.017697010189294815;;;;;;;;;;;;;
13.82995;2.481993988112663E-7;-6.028863595020084E-7;0.0;130.8997039794922;0.0;8.877106666564941;-2.229163692391012E-5;0.017697010189294815;;;;;;;;;;;;;
13.83;2.4611111371086736E-7;-5.755716188104998E-7;0.0;130.8997039794922;0.0;8.877105712890625;-2.2291640561888926E-5;0.017697010189294815;;;;;;;;;;;;;
13.83005;2.4404016585322097E-7;-5.429506586551724E-7;0.0;130.8997039794922;0.0;8.877106666564941;-2.2291644199867733E-5;0.017697010189294815;;;;;;;;;;;;;
