Log-File 2024-03-20_20-23-28 
Attention: Channels may have changed during runtime. 
 
time;    CH1;    CH2;    CH3;    CH4;   CH5;   CH6;   CH7;   CH8;   CH9;   CH10;   CH11;   CH12;   CH13;   CH14;   CH15;   CH16;   CH17;   CH18;   CH19;   CH20;   receive_field_1;   receive_field_2;   receive_field_3;   receive_field_4;   receive_field_5;   receive_field_6
time; CH1=(12) iq; CH2=(11) id; CH3=(4) theta_mech; CH4=(7) iq_ref; CH5=(8) Kp_id; CH6=(9) Kp_iq; CH7=(10) psid_actual; CH8=(5) psid_ref; CH9=(0) ZEROVALUE; CH10=(0) ZEROVALUE; CH11=(0) ZEROVALUE; CH12=(0) ZEROVALUE; CH13=(0) ZEROVALUE; CH14=(0) ZEROVALUE; CH15=(0) ZEROVALUE; CH16=(0) ZEROVALUE; CH17=(0) ZEROVALUE; CH18=(0) ZEROVALUE; CH19=(0) ZEROVALUE; CH20=(0) ZEROVALUE; 
18.6405;1.468834120998963E-8;7.890141719233551E-14;3.5714797559194267E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.640549999999998;-1.3796407571931013E-8;7.891621655198994E-14;1.1904997518286109E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.6406;-2.328505743776077E-8;7.888170504158701E-14;-1.1905370047315955E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.64065;-1.3783577834658445E-8;7.890137653475404E-14;-3.5715181729756296E-4;0.0;-0.0;8.877105712890625;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.6407;1.470116917090536E-8;7.891168323165623E-14;-1.1905381688848138E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.64075;2.4189819924913536E-8;7.887872348561267E-14;1.1904985876753926E-4;0.0;-0.0;8.877105712890625;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.6408;1.468834120998963E-8;7.890141719233551E-14;3.5714797559194267E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.64085;-1.3796407571931013E-8;7.891621655198994E-14;1.1904997518286109E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.6409;-2.328505743776077E-8;7.888170504158701E-14;-1.1905370047315955E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.64095;-1.3783577834658445E-8;7.890137653475404E-14;-3.5715181729756296E-4;0.0;-0.0;8.877105712890625;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.641;1.470116917090536E-8;7.891168323165623E-14;-1.1905381688848138E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.64105;2.4189819924913536E-8;7.887872348561267E-14;1.1904985876753926E-4;0.0;-0.0;8.877105712890625;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.641099999999998;1.468834120998963E-8;7.890141719233551E-14;3.5714797559194267E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.64115;-1.3796407571931013E-8;7.891621655198994E-14;1.1904997518286109E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.641199999999998;-2.328505743776077E-8;7.888170504158701E-14;-1.1905370047315955E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.64125;-1.3783577834658445E-8;7.890137653475404E-14;-3.5715181729756296E-4;0.0;-0.0;8.877105712890625;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.641299999999998;1.470116917090536E-8;7.891168323165623E-14;-1.1905381688848138E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.64135;2.4189819924913536E-8;7.887872348561267E-14;1.1904985876753926E-4;0.0;-0.0;8.877105712890625;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.6414;1.468834120998963E-8;7.890141719233551E-14;3.5714797559194267E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.64145;-1.3796407571931013E-8;7.891621655198994E-14;1.1904997518286109E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.6415;-2.328505743776077E-8;7.888170504158701E-14;-1.1905370047315955E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.64155;-1.3783577834658445E-8;7.890137653475404E-14;-3.5715181729756296E-4;0.0;-0.0;8.877105712890625;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.6416;1.470116917090536E-8;7.891168323165623E-14;-1.1905381688848138E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.64165;2.4189819924913536E-8;7.887872348561267E-14;1.1904985876753926E-4;0.0;-0.0;8.877105712890625;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.6417;1.468834120998963E-8;7.890141719233551E-14;3.5714797559194267E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.64175;-1.3796407571931013E-8;7.891621655198994E-14;1.1904997518286109E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.6418;-2.328505743776077E-8;7.888170504158701E-14;-1.1905370047315955E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.641849999999998;-1.3783577834658445E-8;7.890137653475404E-14;-3.5715181729756296E-4;0.0;-0.0;8.877105712890625;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.6419;1.470116917090536E-8;7.891168323165623E-14;-1.1905381688848138E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.641949999999998;2.4189819924913536E-8;7.887872348561267E-14;1.1904985876753926E-4;0.0;-0.0;8.877105712890625;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.642;1.468834120998963E-8;7.890141719233551E-14;3.5714797559194267E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.642049999999998;-1.3796407571931013E-8;7.891621655198994E-14;1.1904997518286109E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.6421;-2.328505743776077E-8;7.888170504158701E-14;-1.1905370047315955E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.64215;-1.3783577834658445E-8;7.890137653475404E-14;-3.5715181729756296E-4;0.0;-0.0;8.877105712890625;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.6422;1.470116917090536E-8;7.891168323165623E-14;-1.1905381688848138E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.64225;2.4189819924913536E-8;7.887872348561267E-14;1.1904985876753926E-4;0.0;-0.0;8.877105712890625;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.6423;1.468834120998963E-8;7.890141719233551E-14;3.5714797559194267E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.64235;-1.3796407571931013E-8;7.891621655198994E-14;1.1904997518286109E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.6424;-2.328505743776077E-8;7.888170504158701E-14;-1.1905370047315955E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.64245;-1.3783577834658445E-8;7.890137653475404E-14;-3.5715181729756296E-4;0.0;-0.0;8.877105712890625;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.6425;1.470116917090536E-8;7.891168323165623E-14;-1.1905381688848138E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.64255;2.4189819924913536E-8;7.887872348561267E-14;1.1904985876753926E-4;0.0;-0.0;8.877105712890625;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.642599999999998;1.468834120998963E-8;7.890141719233551E-14;3.5714797559194267E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.64265;-1.3796407571931013E-8;7.891621655198994E-14;1.1904997518286109E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.642699999999998;-2.328505743776077E-8;7.888170504158701E-14;-1.1905370047315955E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.64275;-1.3783577834658445E-8;7.890137653475404E-14;-3.5715181729756296E-4;0.0;-0.0;8.877105712890625;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.642799999999998;1.470116917090536E-8;7.891168323165623E-14;-1.1905381688848138E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.64285;2.4189819924913536E-8;7.887872348561267E-14;1.1904985876753926E-4;0.0;-0.0;8.877105712890625;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.6429;1.468834120998963E-8;7.890141719233551E-14;3.5714797559194267E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.64295;-1.3796407571931013E-8;7.891621655198994E-14;1.1904997518286109E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.643;-2.328505743776077E-8;7.888170504158701E-14;-1.1905370047315955E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.64305;-1.3783577834658445E-8;7.890137653475404E-14;-3.5715181729756296E-4;0.0;-0.0;8.877105712890625;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
18.6431;1.470116917090536E-8;7.891168323165623E-14;-1.1905381688848138E-4;0.0;-0.0;8.877106666564941;0.017697010189294815;0.017697010189294815;;;;;;;;;;;;;
