id,iq,vd,vq
0,6,-5.45314429780736,21.8813083743534
-1,6,-5.71820339601236,21.1594196907259
-2,6,-5.96961775211309,20.4238589779948
-3,6,-6.2162293597592,19.6829978734857
-4,6,-6.46214275682428,18.9375921466431
-5,6,-6.70345630700426,18.1936606077916
-6,6,-6.94373267012098,17.4523956371175
0,5,-4.51018753324173,21.6449359635434
-1,5,-4.76288697707018,20.9146531306381
-2,5,-5.01163268744107,20.1756411910288
-3,5,-5.25428649664132,19.435415288288
-4,5,-5.49443029004823,18.6889160866499
-5,5,-5.73535059080244,17.9444216632913
-6,5,-5.9792117849047,17.2030389973437
0,4,-3.54988975126293,21.4069026447075
-1,4,-3.79927270836484,20.6714350406221
-2,4,-4.0427188941951,19.928250859097
-3,4,-4.28093475011593,19.1796235865922
-4,4,-4.52211545445221,18.4325188647651
-5,4,-4.76142424838113,17.6892409786511
-6,4,-5.00732531155612,16.9511479896574
0,3,-2.5824446314677,21.1653600005768
-1,3,-2.82823650231879,20.4245494398528
-2,3,-3.06889413567465,19.674312647625
-3,3,-3.30592168269893,18.924550106236
-4,3,-3.54466091551055,18.1780018174214
-5,3,-3.78739257887454,17.4339754913149
-6,3,-4.03093951947291,16.6959379603804
0,2,-1.60630860522565,20.9188782749363
-1,2,-1.84973367620536,20.1762784674727
-2,2,-2.08641616053346,19.4227517027989
-3,2,-2.32264089363431,18.6670580634387
-4,2,-2.56204536207342,17.9191738769743
-5,2,-2.81202512883749,17.1787668695673
-6,2,-3.05702684866684,16.4400912989824
0,1,-0.629383304793035,20.6706875002024
-1,1,-0.867849404250317,19.9254436504363
-2,1,-1.10695485534982,19.1714220459593
-3,1,-1.34562385104893,18.4142075130426
-4,1,-1.58291633363867,17.6633659824595
-5,1,-1.82491950957857,16.9184698790568
-6,1,-2.07354627404322,16.1832911470605
0,0,0.344427288374252,20.4204750061035
-1,0,0.113304162160944,19.6738662063642
-2,0,-0.123519137282187,18.9183139326763
-3,0,-0.361862550476008,18.1599720177448
-4,0,-0.59889637814866,17.4062630523881
-5,0,-0.847470826634816,16.6596314452043
-6,0,-1.0948605641378,15.9214325701346
