id,iq,idm,iqm,psid,psiq,psi_d_idqm,psi_q_idqm
0,6,0.143472457050042,5.6599950854451,0.0163039742106117,0.00433946686043187,0.01623800084344,0.00462356034451866
-1,6,-0.848013004918232,5.67521505550684,0.0157295052529901,0.0043656269015572,0.0156430415505881,0.00462426284176836
-2,6,-1.84454609184759,5.68500485527618,0.0151441612263641,0.00438092398248402,0.0150480822577362,0.00462496533901807
-3,6,-2.83638110503494,5.69538015820774,0.0145546065976312,0.00439241291140225,0.0144531229648843,0.00462566783626777
-4,6,-3.83066271368748,5.70936394851663,0.01396143696622,0.00440332846818331,0.0138581636720324,0.00462637033351747
-5,6,-4.82554693514263,5.72133862737667,0.0133694333502511,0.00441058538511683,0.0132632043791805,0.00462707283076718
-6,6,-5.82020083168042,5.73778202798082,0.0127795553669665,0.0044170201878009,0.0126682450863285,0.00462777532801688
0,5,0.117006394639008,4.65436763059984,0.0163006445161809,0.00358908350985805,0.0162402492641044,0.00385743236752515
-1,5,-0.877475476052555,4.66593532234647,0.0157195030701967,0.00360541313502191,0.0156452899712525,0.00385813486477486
-2,5,-1.87332662758832,4.67685792116867,0.015131408771066,0.00361859172179615,0.0150503306784006,0.00385883736202456
-3,5,-2.86527976216092,4.68219078885947,0.014542360694338,0.00362690390909711,0.0144553713855487,0.00385953985927426
-4,5,-3.85555886122171,4.69460481543285,0.0139483096220634,0.00363325326952767,0.0138604120926968,0.00386024235652397
-5,5,-4.85097769480836,4.70748530915322,0.0133558636969464,0.00364019623156554,0.0132654527998449,0.00386094485377367
-6,5,-5.84525925419067,4.72613274373806,0.0127658946060219,0.00364948427062626,0.012670493506993,0.00386164735102337
0,4,0.0907802759769542,3.64912643445812,0.0162959943050707,0.00282492098526659,0.0162424976847689,0.00309130439053165
-1,4,-0.904359273430049,3.6576259576812,0.0157107246375505,0.00283859795900226,0.015647538391917,0.00309200688778135
-2,4,-1.89779842437754,3.66599949276442,0.0151193106297267,0.00284756066469051,0.015052579099065,0.00309270938503106
-3,4,-2.89447607454442,3.67144179873772,0.0145235736929332,0.00285234804504831,0.0144576198062131,0.00309341188228076
-4,4,-3.88813674561792,3.68073764845164,0.0139290517789183,0.00285949535948067,0.0138626605133612,0.00309411437953046
-5,4,-4.8804739108772,3.69306403905476,0.013337573880983,0.00286516832617492,0.0132677012205093,0.00309481687678017
-6,4,-5.87254042067963,3.71628346786975,0.012750214571166,0.00287608010132902,0.0126727419276574,0.00309551937402987
0,3,0.0672632351879398,2.64605922859558,0.0162885474451281,0.00205505191916897,0.0162447461054333,0.00232517641353814
-1,3,-0.930999134025181,2.65349507309357,0.0156990354465729,0.00206587323423765,0.0156497868125814,0.00232587891078785
-2,3,-1.92860050019968,2.65906675196558,0.0151020091951565,0.00207260578592836,0.0150548275197295,0.00232658140803755
-3,3,-2.92368499815441,2.66443999223204,0.0145053718366076,0.00207644901307917,0.0144598682268776,0.00232728390528725
-4,3,-3.91573258420247,2.67320925715548,0.0139112843253476,0.00208166765150666,0.0138649089340257,0.00232798640253696
-5,3,-4.91021747343082,2.68569194333823,0.0133192024193479,0.00209005296222593,0.0132699496411737,0.00232868889978666
-6,3,-5.90425997083172,2.705873929226,0.0127318867000569,0.00209910039175335,0.0126749903483218,0.00232939139703636
0,2,0.0419373114260143,1.64232309554758,0.0162771725599851,0.00127825822093637,0.0162469945260977,0.00155904843654464
-1,2,-0.955828416386773,1.6519511861645,0.0156862325711071,0.00128719762355869,0.0156520352332458,0.00155975093379434
-2,2,-1.95628327328954,1.65469732076598,0.015086594795817,0.00129076905989849,0.0150570759403939,0.00156045343104405
-3,2,-2.95414162395589,1.6590162226348,0.0144852243893571,0.00129398887804207,0.014462116647542,0.00156115592829375
-4,2,-3.94776898930357,1.66643192210351,0.0138900783352672,0.00129973020537657,0.0138671573546901,0.00156185842554345
-5,2,-4.94024010163503,1.68288689432785,0.0133008918755794,0.00131388067600001,0.0132721980618382,0.00156256092279316
-6,2,-5.93728836872604,1.70154343222764,0.0127130699428492,0.00132408723836049,0.0126772387689863,0.00156326342004286
0,1,0.0162728025486276,0.64471596042568,0.0162644370065213,0.000500842695033654,0.0162492429467622,0.000792920459551134
-1,1,-0.982743060330957,0.648749129073535,0.0156713873641535,0.000505831135870324,0.0156542836539102,0.000793622956800837
-2,1,-1.98215411090528,0.654175086885333,0.0150713598280664,0.000511344263762218,0.0150593243610583,0.000794325454050541
-3,1,-2.98111402112605,0.660206535281688,0.0144687897177514,0.000516503538730517,0.0144643650682064,0.000795027951300244
-4,1,-3.97841807742752,0.665407884869853,0.0138712874844405,0.000520555764039633,0.0138694057753545,0.000795730448549947
-5,1,-4.97596063911384,0.67829748385097,0.0132785152553352,0.000528366704857179,0.0132744464825026,0.000796432945799651
-6,1,-5.97253003824006,0.695736683711468,0.0126934822183317,0.000541450095807639,0.0126794871896507,0.000797135443049354
0,0,-0.00857701745834979,-0.353634009693477,0.0162500944971288,-0.000274089259107854,0.0162514913674266,2.67924825576288e-05
-1,0,-1.00908455109395,-0.352059788968975,0.015655960739155,-0.000274946942378075,0.0156565320745747,2.74949798073322e-05
