Ordnung,Amplitude
2,0.61147883684468
3,0.480498802954118
4,0.209274763803507
5,0.110497862014309
6,0.180139235780824
7,0.168152415500241
8,0.105397914983088
9,0.131617817267075
10,0.0897111903039624
11,0.0310482473709451
12,0.0752709659581492
13,0.123552569460722
14,0.0604961422908977
15,0.0651194848974236
16,0.0663618668272999
17,0.079025006717238
18,0.0353338400058601
19,0.0531722471616275
20,0.0450262165968767
