Var1,y
1,0
1000001,26.0400009155273
2000001,27.2900009155273
3000001,27.3299999237061
4000001,27.4200000762939
5000001,27.4699993133545
6000001,27.5100002288818
7000001,27.4899997711182
8000001,27.4500007629395
9000001,27.5
10000001,27.5200004577637
11000001,27.4899997711182
12000001,27.5400009155273
13000001,27.5400009155273
14000001,27.6299991607666
15000001,28
16000001,27.9500007629395
17000001,28.0200004577637
18000001,28.0200004577637
19000001,28.0599994659424
20000001,28.0599994659424
21000001,28.0499992370605
22000001,28.0400009155273
23000001,27.9899997711182
24000001,28.0499992370605
25000001,28.0300006866455
26000001,28.0900001525879
27000001,28.0200004577637
28000001,28.0599994659424
29000001,28.0499992370605
30000001,28.1200008392334
31000001,28.0799999237061
32000001,28.1800003051758
33000001,28.1700000762939
34000001,28.2299995422363
35000001,28.2099990844727
36000001,28.0799999237061
37000001,28.1000003814697
38000001,28.1900005340576
39000001,28.2099990844727
40000001,28.1800003051758
41000001,28.1499996185303
42000001,28.1900005340576
43000001,28.1800003051758
