201.3985;9.28E-08;4.93E-13;9.26E-04;0
201.3986;-9.24E-08;4.93E-13;3.09E-04;0
201.3987;-1.54E-07;4.93E-13;-3.09E-04;0
201.3988;-9.23E-08;4.93E-13;-9.26E-04;0
201.3989;9.29E-08;4.93E-13;-3.09E-04;0
201.399;1.55E-07;4.93E-13;3.09E-04;0
201.3991;9.28E-08;4.93E-13;9.26E-04;0
201.3992;-9.24E-08;4.93E-13;3.09E-04;0
201.3993;-1.54E-07;4.93E-13;-3.09E-04;0
201.3994;-9.23E-08;4.93E-13;-9.26E-04;0
201.3995;9.29E-08;4.93E-13;-3.09E-04;0
201.3996;1.55E-07;4.93E-13;3.09E-04;0
201.3997;9.28E-08;4.93E-13;9.26E-04;0
201.3998;-9.24E-08;4.93E-13;3.09E-04;0
201.3999;-1.54E-07;4.93E-13;-3.09E-04;0
201.4;-9.23E-08;4.93E-13;-9.26E-04;0
201.4001;9.29E-08;4.93E-13;-3.09E-04;0
201.4002;1.55E-07;4.93E-13;3.09E-04;0
201.4003;9.28E-08;4.93E-13;9.26E-04;0
201.4004;-9.24E-08;4.93E-13;3.09E-04;0
201.4005;-1.54E-07;4.93E-13;-3.09E-04;0
201.4006;-9.23E-08;4.93E-13;-9.26E-04;0
201.4007;9.29E-08;4.93E-13;-3.09E-04;0
201.4008;1.55E-07;4.93E-13;3.09E-04;0
201.4009;9.28E-08;4.93E-13;9.26E-04;0
201.401;-9.24E-08;4.93E-13;3.09E-04;0
201.4011;-1.54E-07;4.93E-13;-3.09E-04;0
201.4012;-9.23E-08;4.93E-13;-9.26E-04;0
201.4013;9.29E-08;4.93E-13;-3.09E-04;0
201.4014;1.55E-07;4.93E-13;3.09E-04;0
201.4015;9.28E-08;4.93E-13;9.26E-04;0
201.4016;-9.24E-08;4.93E-13;3.09E-04;0
201.4017;-1.54E-07;4.93E-13;-3.09E-04;0
201.4018;-9.23E-08;4.93E-13;-9.26E-04;0
201.4019;9.29E-08;4.93E-13;-3.09E-04;0
201.402;1.55E-07;4.93E-13;3.09E-04;0
201.4021;9.28E-08;4.93E-13;9.26E-04;0
201.4022;-9.24E-08;4.93E-13;3.09E-04;0
201.4023;-1.54E-07;4.93E-13;-3.09E-04;0
201.4024;-9.23E-08;4.93E-13;-9.26E-04;0
201.4025;9.29E-08;4.93E-13;-3.09E-04;0
201.4026;1.55E-07;4.93E-13;3.09E-04;0
201.4027;9.28E-08;4.93E-13;9.26E-04;0
201.4028;-9.24E-08;4.93E-13;3.09E-04;0
201.4029;-1.54E-07;4.93E-13;-3.09E-04;0
201.403;-9.23E-08;4.93E-13;-9.26E-04;0
201.4031;9.29E-08;4.93E-13;-3.09E-04;0
201.4032;1.55E-07;4.93E-13;3.09E-04;0
201.4033;9.28E-08;4.93E-13;9.26E-04;0
201.4034;-9.24E-08;4.93E-13;3.09E-04;0
201.4035;-1.54E-07;4.93E-13;-3.09E-04;0
201.4036;-9.23E-08;4.93E-13;-9.26E-04;0
201.4037;9.29E-08;4.93E-13;-3.09E-04;0
201.4038;1.55E-07;4.93E-13;3.09E-04;0
201.4039;9.28E-08;4.93E-13;9.26E-04;0
201.404;-9.24E-08;4.93E-13;3.09E-04;0
201.4041;-1.54E-07;4.93E-13;-3.09E-04;0
201.4042;-9.23E-08;4.93E-13;-9.26E-04;0
201.4043;9.29E-08;4.93E-13;-3.09E-04;0
201.4044;1.55E-07;4.93E-13;3.09E-04;0
201.4045;9.28E-08;4.93E-13;9.26E-04;0
201.4046;-9.24E-08;4.93E-13;3.09E-04;0
201.4047;-1.54E-07;4.93E-13;-3.09E-04;0
201.4048;-9.23E-08;4.93E-13;-9.26E-04;0
201.4049;9.29E-08;4.93E-13;-3.09E-04;0
201.405;1.55E-07;4.93E-13;3.09E-04;0
201.4051;9.28E-08;4.93E-13;9.26E-04;0
201.4052;-9.24E-08;4.93E-13;3.09E-04;0
201.4053;-1.54E-07;4.93E-13;-3.09E-04;0
201.4054;-9.23E-08;4.93E-13;-9.26E-04;0
201.4055;9.29E-08;4.93E-13;-3.09E-04;0
201.4056;1.55E-07;4.93E-13;3.09E-04;0
201.4057;9.28E-08;4.93E-13;9.26E-04;0
201.4058;-9.24E-08;4.93E-13;3.09E-04;0
201.4059;-1.54E-07;4.93E-13;-3.09E-04;0
201.406;-9.23E-08;4.93E-13;-9.26E-04;0
201.4061;9.29E-08;4.93E-13;-3.09E-04;0
201.4062;1.55E-07;4.93E-13;3.09E-04;0
201.4063;9.28E-08;4.93E-13;9.26E-04;0
201.4064;-9.24E-08;4.93E-13;3.09E-04;0
201.4065;-1.54E-07;4.93E-13;-3.09E-04;0
201.4066;-9.23E-08;4.93E-13;-9.26E-04;0
201.4067;9.29E-08;4.93E-13;-3.09E-04;0
201.4068;1.55E-07;4.93E-13;3.09E-04;0
201.4069;9.28E-08;4.93E-13;9.26E-04;0
201.407;-9.24E-08;4.93E-13;3.09E-04;0
201.4071;-1.54E-07;4.93E-13;-3.09E-04;0
201.4072;-9.23E-08;4.93E-13;-9.26E-04;0
201.4073;9.29E-08;4.93E-13;-3.09E-04;0
201.4074;1.55E-07;4.93E-13;3.09E-04;0
201.4075;9.28E-08;4.93E-13;9.26E-04;0
201.4076;-9.24E-08;4.93E-13;3.09E-04;0
201.4077;-1.54E-07;4.93E-13;-3.09E-04;0
201.4078;-9.23E-08;4.93E-13;-9.26E-04;0
201.4079;9.29E-08;4.93E-13;-3.09E-04;0
201.408;1.55E-07;4.93E-13;3.09E-04;0
201.4081;9.28E-08;4.93E-13;9.26E-04;0
201.4082;-9.24E-08;4.93E-13;3.09E-04;0
201.4083;-1.54E-07;4.93E-13;-3.09E-04;0
201.4084;-9.23E-08;4.93E-13;-9.26E-04;0
201.4085;9.29E-08;4.93E-13;-3.09E-04;0
201.4086;1.55E-07;4.93E-13;3.09E-04;0
201.4087;9.28E-08;4.93E-13;9.26E-04;0
201.4088;-9.24E-08;4.93E-13;3.09E-04;0
201.4089;-1.54E-07;4.93E-13;-3.09E-04;0
201.409;-9.23E-08;4.93E-13;-9.26E-04;0
201.4091;9.29E-08;4.93E-13;-3.09E-04;0
201.4092;1.55E-07;4.93E-13;3.09E-04;0
201.4093;9.28E-08;4.93E-13;9.26E-04;0
201.4094;-9.24E-08;4.93E-13;3.09E-04;0
201.4095;-1.54E-07;4.93E-13;-3.09E-04;0
201.4096;-9.23E-08;4.93E-13;-9.26E-04;0
201.4097;9.29E-08;4.93E-13;-3.09E-04;0
201.4098;1.55E-07;4.93E-13;3.09E-04;0
201.4099;9.28E-08;4.93E-13;9.26E-04;0
201.41;-9.24E-08;4.93E-13;3.09E-04;0
201.4101;-1.54E-07;4.93E-13;-3.09E-04;0
201.4102;-9.23E-08;4.93E-13;-9.26E-04;0
201.4103;9.29E-08;4.93E-13;-3.09E-04;0
201.4104;1.55E-07;4.93E-13;3.09E-04;0
201.4105;9.28E-08;4.93E-13;9.26E-04;0
201.4106;-9.24E-08;4.93E-13;3.09E-04;0
201.4107;-1.54E-07;4.93E-13;-3.09E-04;0
201.4108;-9.23E-08;4.93E-13;-9.26E-04;0
201.4109;9.29E-08;4.93E-13;-3.09E-04;0
201.411;1.55E-07;4.93E-13;3.09E-04;0
