float_mult_f,float_mult_xi,int_mult_f,int_mult_xi,unbiased_f,unbiased_xi,unbiased_opt_f,unbiased_opt_xi
0.0102265182087817,0.48467497098128,0.0674950201776361,0.422674982425372,0.0109103527343322,0.521524951090814,0.0910160823178837,0.435849995368322
0.111750681774991,0.484777496704445,0.889334191765205,0.422787609389832,0.0552852986175135,0.521716365912034,1.25498634791299,0.436080298954582
0.498675140819994,0.484880022427611,3.97635421128453,0.422900236354292,0.200562293765798,0.521907780733254,5.87674788520798,0.436310602540842
0.908722645532058,0.484982548150776,6.03298826920443,0.423012863318752,0.543419523195112,0.522099195554474,12.8266158524683,0.436540906127102
0.676701096544362,0.485085073873941,3.16123230928413,0.423125490283212,1.18756109959296,0.522290610375694,29.8731934393,0.436771209713362
0.217014376111099,0.485187599597106,1.71228703735977,0.423238117247672,2.2854029651684,0.522482025196914,51.8083601360957,0.437001513299622
0.138288745786784,0.485290125320271,8.44193362170304,0.423350744212132,4.29625516950016,0.522673440018135,65.9499197001035,0.437231816885881
0.45207507568414,0.485392651043436,20.518097534453,0.423463371176592,8.30061376848542,0.522864854839355,95.0775848114762,0.437462120472141
0.735725821892666,0.485495176766601,17.0353854514217,0.423575998141051,15.7359927441114,0.523056269660575,99.6522688145992,0.437692424058401
0.505083742308233,0.485597702489767,6.4203296091242,0.423688625105511,27.4677699091859,0.523247684481795,123.436097542528,0.437922727644661
0.449742040974899,0.485700228212932,19.5099346140436,0.423801252069971,42.8373395694651,0.523439099303015,143.28958017472,0.438153031230921
2.78731226631241,0.485802753936097,74.7745455837645,0.423913879034431,61.2797098886511,0.523630514124235,200.322188432895,0.438383334817181
9.92505781928512,0.485905279659262,99.5301628554227,0.424026505998891,83.1880226081946,0.523821928945456,231.648690534137,0.43861363840344
14.5072186962753,0.486007805382427,45.8882314802074,0.424139132963351,108.303754312165,0.524013343766676,270.675791507194,0.4388439419897
8.7272072711756,0.486110331105592,24.0712516994145,0.424251759927811,135.649544769595,0.524204758587896,289.107095972335,0.43907424557596
3.40627152448586,0.486212856828757,108.737543364371,0.424364386892271,161.422945678914,0.524396173409116,211.531000537165,0.43930454916222
10.3795943881755,0.486315382551922,232.026574330624,0.424477013856731,179.56093317056,0.524587588230336,192.52388634012,0.43953485274848
32.6122528004359,0.486417908275088,168.918285094368,0.424589640821191,189.232234116389,0.524779003051556,187.988436138411,0.439765156334739
42.6856001049457,0.486520433998253,52.2337655400059,0.424702267785651,193.821073134923,0.524970417872776,218.938740347083,0.439995459920999
23.1368749226403,0.486622959721418,111.836241442935,0.42481489475011,195.10499838008,0.525161832693997,171.469510052705,0.440225763507259
10.4161459811336,0.486725485444583,373.150426504007,0.42492752171457,193.792761641017,0.525353247515217,150.349993504598,0.440456067093519
38.6519341359755,0.486828011167748,435.80775468301,0.42504014867903,188.630374922316,0.525544662336437,158.516868807877,0.440686370679779
109.728158044042,0.486930536890913,176.652494982175,0.42515277564349,179.206158893599,0.525736077157657,213.803560440961,0.440916674266039
128.647766003432,0.487033062614078,86.657783449233,0.42526540260795,168.88753115042,0.525927491978877,187.166226529773,0.441146977852298
62.7721654271387,0.487135588337243,351.830686469793,0.42537802957241,160.244428259092,0.526118906800097,114.009790077568,0.441377281438558
30.0908881614753,0.487238114060409,658.350294622029,0.42549065653687,153.663250603448,0.526310321621317,83.468352379344,0.441607585024818
114.607285125301,0.487340639783574,419.972981285165,0.42560328350133,148.158606429429,0.526501736442538,59.7129857357273,0.441837888611078
292.273038091665,0.487443165506739,108.415236101068,0.42571591046579,142.084660483794,0.526693151263758,55.9364422463298,0.442068192197338
306.952217939315,0.487545691229904,164.954278688482,0.42582853743025,135.857439565765,0.526884566084978,59.9469635120513,0.442298495783597
134.632013699395,0.487648216953069,477.800165398687,0.42594116439471,129.724004391536,0.527075980906198,69.1236590482441,0.442528799369857
64.307041118749,0.487750742676234,489.343928694823,0.426053791359169,123.416959605561,0.527267395727418,50.5672330921847,0.442759102956117
234.140020032305,0.487853268399399,175.70106051471,0.426166418323629,116.816454745555,0.527458810548638,42.8470655999309,0.442989406542377
535.075820655316,0.487955794122564,100.700798846417,0.426279045288089,109.522517219882,0.527650225369858,39.2098582906669,0.443219710128637
502.885846584427,0.48805831984573,392.208340395729,0.426391672252549,103.339636626608,0.527841640191079,45.8185921388336,0.443450013714897
198.235400936529,0.488160845568895,644.616540307913,0.426504299217009,101.376893368387,0.528033055012299,44.7961270453207,0.443680317301156
94.9019406144647,0.48826337129206,361.029423468734,0.426616926181469,104.361839280735,0.528224469833519,50.3012755175441,0.443910620887416
328.287055925962,0.488365897015225,86.2730832876971,0.426729553145929,109.7534546107,0.528415884654739,49.5632716530434,0.444140924473676
672.709889036775,0.48846842273839,144.535467197824,0.426842180110389,113.906789491663,0.528607299475959,49.9550523923968,0.444371228059936
566.512830394003,0.488570948461555,371.142039531123,0.426954807074849,116.391517980507,0.528798714297179,49.799877932697,0.444601531646196
201.507615346667,0.48867347418472,333.618627162469,0.427067434039309,119.022855808067,0.528990129118399,44.270764887102,0.444831835232456
103.271438720987,0.488775999907885,104.634254600889,0.427180061003769,122.177534247145,0.52918154393962,42.8091249873706,0.445062138818715
344.927123792307,0.488878525631051,47.1733216298723,0.427292687968229,123.795181264612,0.52937295876084,28.9285887661112,0.445292442404975
633.909836357063,0.488981051354216,156.445217860155,0.427405314932688,119.629599672882,0.52956437358206,22.2878072907381,0.445522745991235
478.232258155785,0.489083577077381,225.553085162618,0.427517941897148,108.198175672544,0.52975578840328,11.0707700818355,0.445753049577495
