fp_muliply,fp_divide,shift_multi
0.49600004196167,0.49600004196167,0.48350004196167
0.495000019073486,0.49600004196167,0.485499992370605
0.497499980926514,0.49600004196167,0.486000003814697
0.496999969482422,0.49600004196167,0.486000003814697
0.497999992370605,0.494500007629395,0.485499992370605
0.49600004196167,0.494500007629395,0.485499992370605
0.497999992370605,0.49600004196167,0.48350004196167
0.495500030517578,0.49600004196167,0.485499992370605
0.49600004196167,0.496999969482422,0.486000003814697
0.49600004196167,0.49600004196167,0.486000003814697
0.49600004196167,0.495500030517578,0.485499992370605
0.496999969482422,0.495000019073486,0.485499992370605
0.496999969482422,0.49600004196167,0.48350004196167
0.49649995803833,0.49600004196167,0.485499992370605
0.49649995803833,0.49600004196167,0.486000003814697
0.495500030517578,0.49600004196167,0.486000003814697
0.495500030517578,0.494500007629395,0.485499992370605
0.49600004196167,0.496999969482422,0.485499992370605
0.495000019073486,0.495500030517578,0.48350004196167
0.497499980926514,0.49600004196167,0.485499992370605
0.496999969482422,0.49600004196167,0.486000003814697
0.497999992370605,0.494500007629395,0.486000003814697
0.497999992370605,0.494500007629395,0.484999980926514
0.49600004196167,0.49600004196167,0.485499992370605
0.497999992370605,0.495500030517578,0.48350004196167
0.49600004196167,0.49600004196167,0.485499992370605
0.49600004196167,0.49600004196167,0.486000003814697
0.495000019073486,0.49600004196167,0.486000003814697
0.495500030517578,0.494500007629395,0.485499992370605
0.496999969482422,0.496999969482422,0.485499992370605
0.496999969482422,0.49600004196167,0.48350004196167
0.49649995803833,0.49600004196167,0.485499992370605
0.49600004196167,0.49600004196167,0.486000003814697
0.495500030517578,0.494500007629395,0.486000003814697
0.495500030517578,0.494500007629395,0.485499992370605
0.49600004196167,0.49600004196167,0.485499992370605
0.495000019073486,0.495500030517578,0.48350004196167
0.494500007629395,0.49600004196167,0.486000003814697
0.496999969482422,0.496999969482422,0.484999980926514
0.495500030517578,0.49600004196167,0.486000003814697
0.49649995803833,0.495500030517578,0.484999980926514
0.495500030517578,0.495000019073486,0.486000003814697
0.49600004196167,0.49600004196167,0.48350004196167
0.495000019073486,0.49600004196167,0.485499992370605
0.494500007629395,0.49600004196167,0.486000003814697
0.49600004196167,0.49600004196167,0.486000003814697
0.497499980926514,0.494500007629395,0.485499992370605
0.497999992370605,0.496999969482422,0.485499992370605
0.49600004196167,0.49600004196167,0.48350004196167
0.497999992370605,0.49600004196167,0.485499992370605
0.495500030517578,0.49600004196167,0.486000003814697
0.49600004196167,0.494500007629395,0.486000003814697
0.495000019073486,0.495000019073486,0.485499992370605
0.495500030517578,0.49600004196167,0.485499992370605
0.496999969482422,0.49600004196167,0.48350004196167
0.497499980926514,0.495500030517578,0.485499992370605
0.49649995803833,0.49600004196167,0.486000003814697
0.49600004196167,0.494500007629395,0.486000003814697
0.495500030517578,0.494500007629395,0.485499992370605
0.495500030517578,0.49600004196167,0.485499992370605
0.49600004196167,0.49600004196167,0.48350004196167
0.495000019073486,0.49600004196167,0.485499992370605
0.497499980926514,0.49600004196167,0.486000003814697
0.496999969482422,0.494500007629395,0.486000003814697
0.497999992370605,0.494500007629395,0.485499992370605
0.49600004196167,0.49600004196167,0.485499992370605
0.497999992370605,0.49600004196167,0.48350004196167
0.495500030517578,0.495500030517578,0.485499992370605
0.49600004196167,0.49600004196167,0.485499992370605
0.49600004196167,0.494500007629395,0.484999980926514
0.49600004196167,0.494500007629395,0.484499969482422
0.496999969482422,0.49600004196167,0.486000003814697
0.496999969482422,0.49600004196167,0.486000003814697
0.49649995803833,0.49600004196167,0.486000003814697
0.49600004196167,0.49600004196167,0.486000003814697
0.495500030517578,0.494500007629395,0.485499992370605
0.495500030517578,0.494500007629395,0.486000003814697
0.49600004196167,0.49600004196167,0.485499992370605
0.495000019073486,0.49600004196167,0.486500015258789
0.497499980926514,0.49600004196167,0.485499992370605
0.496999969482422,0.49600004196167,0.484999980926514
0.497999992370605,0.494500007629395,0.485499992370605
0.49600004196167,0.495000019073486,0.484999980926514
0.495500030517578,0.49600004196167,0.486000003814697
0.495500030517578,0.49600004196167,0.48350004196167
0.49600004196167,0.495500030517578,0.485499992370605
0.494500007629395,0.49600004196167,0.486000003814697
0.49600004196167,0.494500007629395,0.486000003814697
0.496999969482422,0.494500007629395,0.485499992370605
0.497499980926514,0.49600004196167,0.485499992370605
0.49649995803833,0.49600004196167,0.48350004196167
0.497999992370605,0.49600004196167,0.485499992370605
0.495500030517578,0.49600004196167,0.486000003814697
0.49600004196167,0.494500007629395,0.486000003814697
0.495000019073486,0.494500007629395,0.485499992370605
0.495500030517578,0.49600004196167,0.485499992370605
0.49600004196167,0.49600004196167,0.485499992370605
0.497499980926514,0.49600004196167,0.486000003814697
0.495000019073486,0.49600004196167,0.485499992370605
0.49649995803833,0.493499984741211,0.485499992370605
0.495500030517578,0.496999969482422,0.485499992370605
0.49600004196167,0.495500030517578,0.485499992370605
0.49600004196167,0.49600004196167,0.486500015258789
0.494500007629395,0.49600004196167,0.485499992370605
0.495000019073486,0.495000019073486,0.484999980926514
0.496999969482422,0.494500007629395,0.486000003814697
0.495500030517578,0.496999969482422,0.484999980926514
0.49649995803833,0.495500030517578,0.486000003814697
0.497999992370605,0.49600004196167,0.48350004196167
0.49600004196167,0.49600004196167,0.485499992370605
0.49600004196167,0.495000019073486,0.486000003814697
0.495000019073486,0.494500007629395,0.486000003814697
