Log-File 2024-02-16_14-24-30 
Attention: Channels may have changed during runtime. 
 
time;    CH1;    CH2;    CH3;    CH4;   CH5;   CH6;   CH7;   CH8;   CH9;   CH10;   CH11;   CH12;   CH13;   CH14;   CH15;   CH16;   CH17;   CH18;   CH19;   CH20;   receive_field_1;   receive_field_2;   receive_field_3;   receive_field_4;   receive_field_5;   receive_field_6
time; CH1=(12) iq; CH2=(11) id; CH3=(7) iq_ref; CH4=(8) psid_approx; CH5=(9) psiq_approx; CH6=(0) ZEROVALUE; CH7=(0) ZEROVALUE; CH8=(0) ZEROVALUE; CH9=(0) ZEROVALUE; CH10=(0) ZEROVALUE; CH11=(0) ZEROVALUE; CH12=(0) ZEROVALUE; CH13=(0) ZEROVALUE; CH14=(0) ZEROVALUE; CH15=(0) ZEROVALUE; CH16=(0) ZEROVALUE; CH17=(0) ZEROVALUE; CH18=(0) ZEROVALUE; CH19=(0) ZEROVALUE; CH20=(0) ZEROVALUE; 
32.418749999999996;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.4188;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.41885;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.4189;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.418949999999995;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.419;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.41905;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.4191;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.41915;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.4192;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.41925;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.4193;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.41935;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.419399999999996;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.41945;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.4195;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.41955;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.419599999999996;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.41965;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.4197;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.41975;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.419799999999995;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.41985;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.4199;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.41995;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.42;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.420049999999996;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.4201;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.42015;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.4202;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.420249999999996;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.4203;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.42035;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.4204;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.420449999999995;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.4205;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.42055;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.4206;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
32.42065;0.0;0.0;0.0;0.017697010189294815;0.0;;;;;;;;;;;;;;;;
