Log-File 2024-02-14_13-29-21 
Attention: Channels may have changed during runtime. 
 
time;    CH1;    CH2;    CH3;    CH4;   CH5;   CH6;   CH7;   CH8;   CH9;   CH10;   CH11;   CH12;   CH13;   CH14;   CH15;   CH16;   CH17;   CH18;   CH19;   CH20;   receive_field_1;   receive_field_2;   receive_field_3;   receive_field_4;   receive_field_5;   receive_field_6
time; CH1=(12) iq; CH2=(11) id; CH3=(7) uc; CH4=(0) ZEROVALUE; CH5=(0) ZEROVALUE; CH6=(0) ZEROVALUE; CH7=(0) ZEROVALUE; CH8=(0) ZEROVALUE; CH9=(0) ZEROVALUE; CH10=(0) ZEROVALUE; CH11=(0) ZEROVALUE; CH12=(0) ZEROVALUE; CH13=(0) ZEROVALUE; CH14=(0) ZEROVALUE; CH15=(0) ZEROVALUE; CH16=(0) ZEROVALUE; CH17=(0) ZEROVALUE; CH18=(0) ZEROVALUE; CH19=(0) ZEROVALUE; CH20=(0) ZEROVALUE; 
17.840249999999997;2.4504947759851348E-6;-2.13827639947671E-13;0.0;;;;;;;;;;;;;;;;;;
17.8403;-2.281401066284161E-6;1.9798523714573135E-13;0.0;;;;;;;;;;;;;;;;;;
17.84035;-3.945353455492295E-6;1.5837403613484964E-14;0.0;;;;;;;;;;;;;;;;;;
17.8404;-2.450494321237784E-6;-2.13830851896607E-13;0.0;;;;;;;;;;;;;;;;;;
17.84045;2.281401521031512E-6;1.9798438333652052E-13;0.0;;;;;;;;;;;;;;;;;;
17.8405;3.945353910239646E-6;1.5840053132543976E-14;0.0;;;;;;;;;;;;;;;;;;
17.84055;2.4504947759851348E-6;-2.13827639947671E-13;0.0;;;;;;;;;;;;;;;;;;
17.8406;-2.281401066284161E-6;1.9798523714573135E-13;0.0;;;;;;;;;;;;;;;;;;
17.84065;-3.945353455492295E-6;1.5837403613484964E-14;0.0;;;;;;;;;;;;;;;;;;
17.8407;-2.450494321237784E-6;-2.13830851896607E-13;0.0;;;;;;;;;;;;;;;;;;
17.84075;2.281401521031512E-6;1.9798438333652052E-13;0.0;;;;;;;;;;;;;;;;;;
