Log-File 2024-02-29_19-26-38 
Attention: Channels may have changed during runtime. 
 
time;    CH1;    CH2;    CH3;    CH4;   CH5;   CH6;   CH7;   CH8;   CH9;   CH10;   CH11;   CH12;   CH13;   CH14;   CH15;   CH16;   CH17;   CH18;   CH19;   CH20;   receive_field_1;   receive_field_2;   receive_field_3;   receive_field_4;   receive_field_5;   receive_field_6
time; CH1=(12) iq; CH2=(11) id; CH3=(7) iq_ref; CH4=(8) Kp_id; CH5=(9) Kp_iq; CH6=(26) ud_geg; CH7=(27) uq_geg; CH8=(0) ZEROVALUE; CH9=(0) ZEROVALUE; CH10=(0) ZEROVALUE; CH11=(0) ZEROVALUE; CH12=(0) ZEROVALUE; CH13=(0) ZEROVALUE; CH14=(0) ZEROVALUE; CH15=(0) ZEROVALUE; CH16=(0) ZEROVALUE; CH17=(0) ZEROVALUE; CH18=(0) ZEROVALUE; CH19=(0) ZEROVALUE; CH20=(0) ZEROVALUE; 
40.8165;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.81655;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.8166;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.816649999999996;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.8167;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.81675;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.8168;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.816849999999995;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.8169;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.81695;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.817;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.817049999999995;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.817099999999996;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.81715;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.8172;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.81725;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.817299999999996;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.81735;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.8174;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.81745;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.817499999999995;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.81755;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.8176;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.81765;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.817699999999995;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.81775;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.8178;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.81785;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.8179;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.817949999999996;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.818;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.81805;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.8181;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.818149999999996;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.8182;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.81825;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.8183;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.818349999999995;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.8184;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.81845;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.8185;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.818549999999995;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.818599999999996;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.81865;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.8187;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.81875;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.818799999999996;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.81885;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.8189;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.81895;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.818999999999996;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.81905;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.8191;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.81915;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.819199999999995;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.81925;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.8193;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.81935;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
40.8194;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;;;;;;;;;;;;
