Pin on X6, Signal, Function, Direction, Specification
79, DIG_Res_01, reserved pin, , 
80, DIG_Res_02, reserved pin, , 
91, DIG_Res_03, reserved pin, , 
92, DIG_Res_04, reserved pin, , 
93, DIG_Res_05, reserved pin, , 
94, DIG_Res_06, reserved pin, , 
95, DIG_Res_07, reserved pin, , 
