input_v_d_V,input_v_q_V,input_omega_mech_1_s,input_load_torque,output_i_d_A,output_i_q_A,output_torque_Nm,output_omega_mech_1_s
1.000000,0.500000,0.000000,0.000000,0.999304,0.495719,0.147232,0.000000
1.000000,0.500000,0.000000,0.000000,0.999373,0.496005,0.147317,0.000000
1.000000,0.500000,0.000000,0.000000,0.999436,0.496271,0.147396,0.000000
1.000000,0.500000,0.000000,0.000000,0.999492,0.496520,0.147469,0.000000
1.000000,0.500000,0.000000,0.000000,0.999543,0.496752,0.147538,0.000000
1.000000,0.500000,0.000000,0.000000,0.999589,0.496968,0.147602,0.000000
1.000000,0.500000,0.000000,0.000000,0.999630,0.497170,0.147662,0.000000
1.000000,0.500000,0.000000,0.000000,0.999667,0.497359,0.147718,0.000000
1.000000,0.500000,0.000000,0.000000,0.999700,0.497535,0.147770,0.000000
1.000000,0.500000,0.000000,0.000000,0.999730,0.497699,0.147819,0.000000
1.000000,0.500000,0.000000,0.000000,0.999757,0.497853,0.147864,0.000000
1.000000,0.500000,0.000000,0.000000,0.999782,0.497996,0.147906,0.000000
1.000000,0.500000,0.000000,0.000000,0.999803,0.498130,0.147946,0.000000
1.000000,0.500000,0.000000,0.000000,0.999823,0.498254,0.147983,0.000000
1.000000,0.500000,0.000000,0.000000,0.999841,0.498371,0.148017,0.000000
1.000000,0.500000,0.000000,0.000000,0.999857,0.498479,0.148049,0.000000
1.000000,0.500000,0.000000,0.000000,0.999871,0.498581,0.148080,0.000000
1.000000,0.500000,0.000000,0.000000,0.999884,0.498675,0.148108,0.000000
1.000000,0.500000,0.000000,0.000000,0.999896,0.498764,0.148134,0.000000
1.000000,0.500000,0.000000,0.000000,0.999906,0.498846,0.148158,0.000000
1.000000,0.500000,0.000000,0.000000,0.999915,0.498923,0.148181,0.000000
1.000000,0.500000,0.000000,0.000000,0.999924,0.498995,0.148202,0.000000
1.000000,0.500000,0.000000,0.000000,0.999931,0.499062,0.148222,0.000000
1.000000,0.500000,0.000000,0.000000,0.999938,0.499124,0.148241,0.000000
1.000000,0.500000,0.000000,0.000000,0.999944,0.499183,0.148258,0.000000
1.000000,0.500000,0.000000,0.000000,0.999950,0.499237,0.148274,0.000000
1.000000,0.500000,0.000000,0.000000,0.999955,0.499288,0.148289,0.000000
1.000000,0.500000,0.000000,0.000000,0.999959,0.499335,0.148303,0.000000
1.000000,0.500000,0.000000,0.000000,0.999964,0.499380,0.148316,0.000000
1.000000,0.500000,0.000000,0.000000,0.999967,0.499421,0.148328,0.000000
1.000000,0.500000,0.000000,0.000000,0.999970,0.499460,0.148340,0.000000
1.000000,0.500000,0.000000,0.000000,0.999973,0.499496,0.148351,0.000000
1.000000,0.500000,0.000000,0.000000,0.999976,0.499529,0.148361,0.000000
