Carrierboard schematic name, FPGA pin name, Vivado port name
ANL_09_P, AH9 , A1_IN[0]
ANL_09_N, AJ9 , A1_IN[1]
ANL_07_P, AH12, A1_IN[2]
ANL_07_N, AJ12, A1_IN[3]
ANL_05_P, AD5 , A1_IN[4]
ANL_05_N, AE5 , A1_IN[5]
ANL_03_P, AF11, A1_IN[6]
ANL_03_N, AG11, A1_IN[7]
ANL_10_P, AB6 , A1_IN[8]
ANL_10_N, AB5 , A1_IN[9]
ANL_08_P, AK13, A1_IN[10]
ANL_08_N, AK12, A1_IN[11]
ANL_06_P, AF8 , A1_IN[12]
ANL_06_N, AF7 , A1_IN[13]
ANL_04_P, AG13, A1_IN[14]
ANL_04_N, AH13, A1_IN[15]
ANL_02_P, AG10, A1_OUT_CNV_1[0]
ANL_02_N, AF10, A1_OUT_CNV_0[0]
ANL_01_P, AG8 , A1_OUT_CLK[0]
ANL_01_N, AH8 , A1_OUT_CLK[1]
